epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.24492220119351432,0.9476162154482018,0.9128632378257333,0.10099718960769036,0.9747761908699485,0.9555674607262892,0.0001
2,0.08248901998095878,0.9778525156757599,0.9576882650886757,0.07458723385763519,0.9783238637096742,0.9591841916827595,0.0001
3,0.06654535119824775,0.9801688176998193,0.9617699366178571,0.07252679458435844,0.9774235153899473,0.9586184340364793,0.0001
4,0.060463920690690016,0.9811144179932573,0.9635076320442847,0.06353860512814101,0.9793582655051175,0.9626342557808932,0.0001
5,0.05569776362020283,0.9823106311369634,0.9656230625898942,0.06373294070363045,0.9784602005692089,0.9621936486047857,0.0001
6,0.05364641089833054,0.9827303862966612,0.9664820192023094,0.06249010217759539,0.9789462133365519,0.9614900473286124,0.0001
7,0.05089164753955467,0.9834364131864307,0.9676882615987805,0.06275412642999607,0.9791311832035289,0.9629318547599456,5e-05
8,0.04669984319395777,0.984733325724276,0.9701309696487759,0.059596205623272586,0.980547580648871,0.964283964213203,5e-05
9,0.04545438353273069,0.9850501081217891,0.9706945487184307,0.0595770478796433,0.9814182756578221,0.9655596158083748,5e-05
10,0.04362073636712124,0.9856122190414255,0.9717386025572909,0.059745941365904665,0.980783149600029,0.965197090716923,5e-05
11,0.04316777621027599,0.9857707002641745,0.9720452167479394,0.05841901788816733,0.9803823758574093,0.965325331863235,5e-05
12,0.042302607140247375,0.9859962080823215,0.9724754440611687,0.059019103153225255,0.9805704968817094,0.9650244888137368,2.5e-05
13,0.04048677484888591,0.9865521995917611,0.9735431924122955,0.05852500393110163,0.9815101641065934,0.9659878550206914,2.5e-05
14,0.03978865830840902,0.9867919283624021,0.9740030958045344,0.05821605251335046,0.9819207857636845,0.9665399973883348,2.5e-05
15,0.03908272610502954,0.9869925399497923,0.9743897171988003,0.05706005496904254,0.9824264855945811,0.9670177522827598,2.5e-05
16,0.0386989757102407,0.9871227180982475,0.9746405108374838,0.059966145412010306,0.9808135654996423,0.9653185351806528,2.5e-05
17,0.038247672432173606,0.9872659554639465,0.9749177807853335,0.05780130156370647,0.9818297081133899,0.966795983559945,2.5e-05
18,0.03798633997808702,0.987327243723978,0.9750483421065053,0.055826587054659337,0.9828332837890176,0.9678519999279696,2.5e-05
19,0.03707340920795195,0.9876753829774403,0.9757109392997394,0.05708275001276942,0.9827785851324305,0.9677462455104379,2.5e-05
20,0.03636929491924326,0.9878856162106768,0.9761160552871894,0.05671694244751159,0.9828149974346161,0.9677681379458484,2.5e-05
21,0.03608546849517595,0.987986952128124,0.9763135907566078,0.05931798026294393,0.9818426361855339,0.9667606669313767,1.25e-05
22,0.034597135875875415,0.988476972895873,0.9772640024899942,0.0588594166945447,0.9822139626040178,0.9671445164610358,1.25e-05
23,0.03386622647644941,0.9887207256587642,0.9777360394381095,0.059463411487419814,0.9823269695043564,0.9673740741084603,1.25e-05
24,0.03371829274602188,0.988804354677536,0.9779028656813422,0.05929454618736225,0.9822822844280916,0.9672375409042134,6.25e-06
25,0.03268108704738612,0.9891060399466173,0.9784866491213101,0.05826622540788615,0.9825960292535669,0.9677624395665001,6.25e-06
